Drop_Date,Monitoring_Date,Area,Place,Scallop
2024/5/7,2024/6/18,sample1,upper,700
2024/5/7,2024/6/18,sample1,middle,1000
2024/5/7,2024/6/18,sample1,lower,500
2024/5/7,2024/7/6,sample1,upper,1300
2024/5/7,2024/7/6,sample1,middle,1300
2024/5/7,2024/7/6,sample1,lower,1400
2025/5/8,2025/6/5,sample1,upper,100
2025/5/8,2025/7/10,sample1,upper,1700
2025/5/8,2025/7/10,sample1,middle,1500
2025/5/8,2025/7/10,sample1,lower,1400
2025/5/8,2025/7/24,sample1,upper,1700
2025/5/8,2025/7/24,sample1,middle,900
2025/5/8,2025/7/24,sample1,lower,2100
2025/5/12,2025/6/17,sample1,upper,900
2025/5/12,2025/6/17,sample1,middle,1000
2025/5/12,2025/6/17,sample1,lower,600
2025/5/12,2025/7/10,sample1,upper,900
2025/5/12,2025/7/10,sample1,middle,900
2025/5/12,2025/7/10,sample1,lower,800
2025/5/12,2025/7/24,sample1,upper,900
2025/5/12,2025/7/24,sample1,middle,1100
2025/5/12,2025/7/24,sample1,lower,1900
2024/4/27,2024/5/30,sample2,upper,3200
2024/4/27,2024/5/30,sample2,middle,5300
2024/4/27,2024/6/12,sample2,upper,5300
2024/4/27,2024/6/12,sample2,middle,5700
2024/4/27,2024/6/12,sample2,lower,3900
2024/5/2,2024/6/12,sample2,upper,3700
2024/5/2,2024/6/12,sample2,middle,3100
2024/5/2,2024/6/12,sample2,lower,3800
2025/5/5,2025/6/4,sample2,upper,3400
2025/5/5,2025/6/4,sample2,middle,4300
2025/5/5,2025/6/17,sample2,upper,2900
2025/5/5,2025/6/17,sample2,middle,3000
2025/5/5,2025/6/17,sample2,lower,4600
2025/5/5,2025/7/17,sample2,upper,1000
2025/5/5,2025/7/17,sample2,middle,1600
2025/5/5,2025/7/17,sample2,lower,1800
2025/5/7,2025/6/17,sample2,upper,2800
2025/5/7,2025/6/17,sample2,middle,3300
2025/5/7,2025/6/17,sample2,lower,3500
2025/5/7,2025/7/17,sample2,upper,900
2025/5/7,2025/7/17,sample2,middle,1300
2025/5/7,2025/7/17,sample2,lower,2600
2024/4/29,2024/5/30,sample3,middle,300
2024/4/29,2024/6/11,sample3,middle,600
2024/4/29,2024/6/19,sample3,middle,400
2024/4/29,2024/6/28,sample3,middle,700
2024/4/29,2024/7/16,sample3,middle,500
2024/5/2,2024/7/8,sample3,middle,400
2024/5/6,2024/5/30,sample3,middle,300
2024/5/6,2024/6/11,sample3,middle,600
2024/5/6,2024/6/19,sample3,middle,700
2024/5/6,2024/6/28,sample3,middle,600
2024/5/6,2024/7/16,sample3,middle,600
2024/5/10,2024/7/8,sample3,middle,600
2025/4/18,2025/6/3,sample3,middle,300
2025/4/18,2025/6/10,sample3,middle,400
2025/4/18,2025/6/24,sample3,middle,700
2025/4/25,2025/6/3,sample3,middle,600
2025/4/25,2025/6/10,sample3,middle,1200
2025/4/25,2025/6/24,sample3,middle,900
2025/5/6,2025/6/3,sample3,middle,900
2025/5/6,2025/6/10,sample3,middle,1200
2025/5/6,2025/6/24,sample3,middle,1400
